发展	FA_T1 ZHAN_T3
黄金	HUANG_T2 JIN_T1
产权	CHAN_T3 QUAN_T2
期限	QI_T1 XIAN_T4
收益	SHOU_T1 YI_T4
营销	YING_T2 XIAO_T1
商务	SHANG_T1 WU_T4
财富	CAI_T2 FU_T4
顾客	GU_T4 KE_T4
发行	FA_T1 XING_T2
财务	CAI_T2 WU_T4
账户	ZHANG_T4 HU_T4
投资者	TOU_T2 ZI_T1 ZHE_T3
受损	SHOU_T4 SUN_T3
缴纳	JIAO_T3 NA_T4
税收	SHUI_T4 SHOU_T1
主管部门	ZHU_T2 GUAN_T3 BU_T4 MEN_T2;ZHU_T3 GUAN_T3 BU_T4 MEN_T2
货币	HUO_T4 BI_T4
研究员	YAN_T2 JIU_T1 YUAN_T2
基金会	JI_T1 JIN_T1 HUI_T4
百分点	BAI_T3 FEN_T1 DIAN_T3
物业	WU_T4 YE_T4
特区	TE_T4 QU_T1
等级	DENG_T3 JI_T2
日期	RI_T4 QI_T1
企业家	QI_T3 YE_T4 JIA_T1
债务	ZHAI_T4 WU_T4;ZHAI_T4 WU_T0
比重	BI_T3 ZHONG_T4
崛起	JUE_T2 QI_T3
代理	DAI_T4 LI_T3
调控	TIAO_T2 KONG_T4
协同	XIE_T2 TONG_T2
业绩	YE_T4 JI_T4
本土	BEN_T2 TU_T3;BEN_T3 TU_T3
农产品	NONG_T2 CHAN_T2 PIN_T3;NONG_T2 CHAN_T3 PIN_T3
数额	SHU_T4 E_T2
收购	SHOU_T1 GOU_T4
租赁	ZU_T1 LIN_T4
储备	CHU_T3 BEI_T4
查获	CHA_T2 HUO_T4
组合	ZU_T3 HE_T2
周期	ZHOU_T1 QI_T1
着手	ZHUO_T2 SHOU_T3
通讯	TONG_T1 XUN_T4
证券	ZHENG_T4 JUAN_T4;ZHENG_T4 QUAN_T4
恶化	E_T4 HUA_T4
友谊	YOU_T3 YI_T4
责任人	ZE_T2 REN_T4 REN_T2
正规	ZHENG_T4 GUI_T1
国际化	GUO_T2 JI_T4 HUA_T4
流通	LIU_T2 TONG_T1
奖金	JIANG_T3 JIN_T1
供给	GONG_T1 JI_T3;GONG_T4 GEI_T3;GONG_T4 JI_T3
财政部	CAI_T2 ZHENG_T4 BU_T4
信用	XIN_T4 YONG_T4;XIN_T4 YONG_T0
备案	BEI_T4 AN_T4
捐款	JUAN_T1 KUAN_T3
挂牌	GUA_T4 PAI_T2
筹备	CHOU_T2 BEI_T4
下滑	XIA_T4 HUA_T2
上月	SHANG_T4 YUE_T4
开发区	KAI_T1 FA_T1 QU_T1
赚钱	ZHUAN_T4 QIAN_T2
个体	GE_T4 TI_T3
市场化	SHI_T4 CHANG_T3 HUA_T4
板块	BAN_T3 KUAI_T4
成交	CHENG_T2 JIAO_T1
中介	ZHONG_T1 JIE_T4
下跌	XIA_T4 DIE_T1
涨幅	ZHANG_T3 FU_T2
太平洋	TAI_T4 PING_T2 YANG_T2
受贿	SHOU_T4 HUI_T4
初期	CHU_T1 QI_T1
中小企业	ZHONG_T1 XIAO_T2 QI_T3 YE_T4;ZHONG_T1 XIAO_T3 QI_T3 YE_T4
达标	DA_T2 BIAO_T1
产量	CHAN_T3 LIANG_T4
订单	DING_T4 DAN_T1
均衡	JUN_T1 HENG_T2
存款	CUN_T2 KUAN_T3
经营者	JING_T1 YING_T2 ZHE_T3
波动	BO_T1 DONG_T4
招商	ZHAO_T1 SHANG_T1
华侨	HUA_T2 QIAO_T2
审计	SHEN_T3 JI_T4
电子商务	DIAN_T4 ZI_T3 SHANG_T1 WU_T4
股票	GU_T3 PIAO_T4
份额	FEN_T4 E_T2
遗产	YI_T2 CHAN_T3
结算	JIE_T2 SUAN_T4
隔离	GE_T2 LI_T2
业界	YE_T4 JIE_T4
国企	GUO_T2 QI_T3
促销	CU_T4 XIAO_T1
签字	QIAN_T1 ZI_T4
垄断	LONG_T3 DUAN_T4
利率	LI_T4 LV_T4
社保	SHE_T4 BAO_T3
招标	ZHAO_T1 BIAO_T1
额度	E_T2 DU_T4
月薪	YUE_T4 XIN_T1
租金	ZU_T1 JIN_T1
合并	HE_T2 BING_T4
定价	DING_T4 JIA_T4
低价	DI_T1 JIA_T4
进出口	JIN_T4 CHU_T1 KOU_T3
发改委	FA_T1 GAI_T2 WEI_T3
反弹	FAN_T3 TAN_T2
欧元	OU_T1 YUAN_T2
控股	KONG_T4 GU_T3
转让	ZHUAN_T3 RANG_T4
担保	DAN_T1 BAO_T3
外资	WAI_T4 ZI_T1
伪造	WEI_T3 ZAO_T4
指引	ZHI_T2 YIN_T3;ZHI_T3 YIN_T3
瓶颈	PING_T2 JING_T3
定点	DING_T4 DIAN_T3
开办	KAI_T1 BAN_T4
股东	GU_T3 DONG_T1
上游	SHANG_T4 YOU_T2
法人	FA_T3 REN_T2
专利	ZHUAN_T1 LI_T4
收回	SHOU_T1 HUI_T2
央行	YANG_T1 HANG_T2
形态	XING_T2 TAI_T4
筹集	CHOU_T2 JI_T2
转换	ZHUAN_T3 HUAN_T4
信贷	XIN_T4 DAI_T4
银行卡	YIN_T2 HANG_T2 KA_T3
被盗	BEI_T4 DAO_T4
网点	WANG_T2 DIAN_T3;WANG_T3 DIAN_T3
走势	ZOU_T3 SHI_T4
攀升	PAN_T1 SHENG_T1
仓库	CANG_T1 KU_T4
工商局	GONG_T1 SHANG_T1 JU_T2
厂房	CHANG_T3 FANG_T2
结构性	JIE_T2 GOU_T4 XING_T4
缴费	JIAO_T3 FEI_T4
到期	DAO_T4 QI_T1
混合	HUN_T4 HE_T2
招商引资	ZHAO_T1 SHANG_T1 YIN_T3 ZI_T1
步骤	BU_T4 ZHOU_T4
区间	QU_T1 JIAN_T1
参与者	CAN_T1 YU_T4 ZHE_T3
商会	SHANG_T1 HUI_T4
缺口	QUE_T1 KOU_T3
国际上	
产值	CHAN_T3 ZHI_T2
宣告	XUAN_T1 GAO_T4
下调	XIA_T4 TIAO_T2
款项	KUAN_T3 XIANG_T4
利息	LI_T4 XI_T1;LI_T4 XI_T0
国民经济	GUO_T2 MIN_T2 JING_T1 JI_T4
获利	HUO_T4 LI_T4
安全性	AN_T1 QUAN_T2 XING_T4
亏损	KUI_T1 SUN_T3
存放	CUN_T2 FANG_T4
低迷	DI_T1 MI_T2
巨头	JU_T4 TOU_T2
库存	KU_T4 CUN_T2
吸纳	XI_T1 NA_T4
恐慌	KONG_T3 HUANG_T1
电网	DIAN_T4 WANG_T3
上调	SHANG_T4 DIAO_T4;SHANG_T4 TIAO_T2
类别	LEI_T4 BIE_T2
原告	YUAN_T2 GAO_T4
筛选	SHAI_T1 XUAN_T3
华商	HUA_T2 SHANG_T1
四大	SI_T4 DA_T4
亚太	YA_T4 TAI_T4
多样化	DUO_T1 YANG_T4 HUA_T4
合作社	HE_T2 ZUO_T4 SHE_T4
考量	KAO_T3 LIANG_T2
报酬	BAO_T4 CHOU_T2;BAO_T4 CHOU_T0
增值	ZENG_T1 ZHI_T2
归还	GUI_T1 HUAN_T2
流动性	LIU_T2 DONG_T4 XING_T4
索赔	SUO_T3 PEI_T2
财力	CAI_T2 LI_T4
测量	CE_T4 LIANG_T2
标注	BIAO_T1 ZHU_T4
余额	YU_T2 E_T2
红利	HONG_T2 LI_T4
经销商	JING_T1 XIAO_T1 SHANG_T1
赌博	DU_T3 BO_T2
构筑	GOU_T4 ZHU_T4
模型	MO_T2 XING_T2
纳税人	NA_T4 SHUI_T4 REN_T2
兼职	JIAN_T1 ZHI_T2
拨款	BO_T1 KUAN_T3
扣除	KOU_T4 CHU_T2
返还	FAN_T3 HAI_T2;FAN_T3 HUAN_T2
首创	SHOU_T3 CHUANG_T4
付款	FU_T4 KUAN_T3
偿还	CHANG_T2 HUAN_T2
集会	JI_T2 HUI_T4
内需	NEI_T4 XU_T1
议案	YI_T4 AN_T4
挪用	NUO_T2 YONG_T4
惯例	GUAN_T4 LI_T4
突破口	TU_T1 PO_T4 KOU_T3
年会	NIAN_T2 HUI_T4
副主席	FU_T4 ZHU_T3 XI_T2
密度	MI_T4 DU_T4;MI_T4 DU_T0
均价	JUN_T1 JIA_T4
闲置	XIAN_T2 ZHI_T4
区域性	QU_T1 YU_T4 XING_T4
冻结	DONG_T4 JIE_T2
数据库	SHU_T4 JU_T4 KU_T4
行长	HANG_T2 ZHANG_T3
核准	HE_T2 ZHUN_T3
一季度	YI_T1 JI_T4 DU_T4;YI_T2 JI_T4 DU_T4
楼盘	LOU_T2 PAN_T2
债券	ZHAI_T4 JUAN_T4;ZHAI_T4 QUAN_T4
观测	GUAN_T1 CE_T4
董事	DONG_T3 SHI_T4
凭证	PING_T2 ZHENG_T4
拖欠	TUO_T1 QIAN_T4
编号	BIAN_T1 HAO_T4
团购	TUAN_T2 GOU_T4
欺骗	QI_T1 PIAN_T4
增长率	ZENG_T1 ZHANG_T3 LV_T4
博弈	BO_T2 YI_T4
利好	LI_T4 HAO_T3
泡沫	PAO_T4 MO_T4
世博	SHI_T4 BO_T2
实战	SHI_T2 ZHAN_T4
全国性	QUAN_T2 GUO_T2 XING_T4
卖出	MAI_T4 CHU_T1
募集	MU_T4 JI_T2
透明度	TOU_T4 MING_T2 DU_T4
汇率	HUI_T4 LV_T4
稳健	WEN_T3 JIAN_T4
购房者	GOU_T4 FANG_T2 ZHE_T3
信用卡	XIN_T4 YONG_T4 KA_T3
彩票	CAI_T3 PIAO_T4
薪酬	XIN_T1 CHOU_T2
社会保险	SHE_T4 HUI_T4 BAO_T2 XIAN_T3;SHE_T4 HUI_T4 BAO_T3 XIAN_T3
折扣	ZHE_T2 KOU_T4
英镑	YING_T1 BANG_T4
投标	TOU_T2 BIAO_T1
进场	JIN_T4 CHANG_T3
落下	LA_T4 XIA_T4;LUO_T4 XIA_T4
成交量	CHENG_T2 JIAO_T1 LIANG_T4
日元	RI_T4 YUAN_T2
交易所	JIAO_T1 YI_T4 SUO_T3
集合	JI_T2 HE_T2
核定	HE_T2 DING_T4
基准	JI_T1 ZHUN_T3
参保	CAN_T1 BAO_T3
总收入	ZONG_T3 SHOU_T1 RU_T4
破产	PO_T4 CHAN_T3
稳定性	WEN_T3 DING_T4 XING_T4
规章	GUI_T1 ZHANG_T1
修正	XIU_T1 ZHENG_T4
津贴	JIN_T1 TIE_T1
飙升	BIAO_T1 SHENG_T1
免职	MIAN_T3 ZHI_T2
油价	YOU_T2 JIA_T4
查封	CHA_T2 FENG_T1
轮胎	LUN_T2 TAI_T1
开盘	KAI_T1 PAN_T2
走私	ZOU_T3 SI_T1
外汇	WAI_T4 HUI_T4
免除	MIAN_T3 CHU_T2
报价	BAO_T4 JIA_T4
失业率	SHI_T1 YE_T4 LV_T4
打折	DA_T3 SHE_T2;DA_T3 ZHE_T2
转账	ZHUAN_T3 ZHANG_T4
崩溃	BENG_T1 KUI_T4
保险公司	BAO_T2 XIAN_T3 GONG_T1 SI_T1;BAO_T3 XIAN_T3 GONG_T1 SI_T1
宏观调控	HONG_T2 GUAN_T1 TIAO_T2 KONG_T4
代理人	DAI_T4 LI_T3 REN_T2
弊端	BI_T4 DUAN_T1
信誉	XIN_T4 YU_T4;XIN_T4 YU_T0
升值	SHENG_T1 ZHI_T2
黑名单	HEI_T1 MING_T2 DAN_T1
有效期	YOU_T3 XIAO_T4 QI_T1
石化	SHI_T2 HUA_T4
预留	YU_T4 LIU_T2
操纵	CAO_T1 ZONG_T4
长城	CHANG_T2 CHENG_T2
股价	GU_T3 JIA_T4
华夏	HUA_T2 XIA_T4
新京报	XIN_T1 JING_T1 BAO_T4
天价	TIAN_T1 JIA_T4
违约	WEI_T2 YUE_T1
持续性	CHI_T2 XU_T4 XING_T4
环球时报	HUAN_T2 QIU_T2 SHI_T2 BAO_T4
基调	JI_T1 DIAO_T4
附加	FU_T4 JIA_T1
仲裁	ZHONG_T4 CAI_T2
珠江	ZHU_T1 JIANG_T1
写字楼	XIE_T3 ZI_T4 LOU_T2
董事会	DONG_T3 SHI_T4 HUI_T4
激增	JI_T1 ZENG_T1
杠杆	GANG_T4 GAN_T3
投资人	TOU_T2 ZI_T1 REN_T2
拨付	BO_T1 FU_T4
分割	FEN_T1 GE_T1
跌幅	DIE_T1 FU_T2
席位	XI_T2 WEI_T4
延期	YAN_T2 QI_T1
央企	YANG_T1 QI_T3
证监会	ZHENG_T4 JIAN_T1 HUI_T4
兴业	XING_T1 YE_T4;XING_T4 YE_T4
匮乏	KUI_T4 FA_T2
震荡	ZHEN_T4 DANG_T4
总价	ZONG_T3 JIA_T4
买单	MAI_T3 DAN_T1
增值税	ZENG_T1 ZHI_T2 SHUI_T4
所有权	SUO_T2 YOU_T3 QUAN_T2;SUO_T3 YOU_T3 QUAN_T2
票据	PIAO_T4 JU_T4
期货	QI_T1 HUO_T4
子公司	ZI_T3 GONG_T1 SI_T1
金融业	JIN_T1 RONG_T2 YE_T4
汇款	HUI_T4 KUAN_T3
投资额	TOU_T2 ZI_T1 E_T2
多媒体	DUO_T1 MEI_T2 TI_T3
保证金	BAO_T3 ZHENG_T4 JIN_T1
价位	JIA_T4 WEI_T4
知情人	ZHI_T1 QING_T2 REN_T2
筹资	CHOU_T2 ZI_T1
按计划	AN_T4 JI_T4 HUA_T4
集装箱	JI_T2 ZHUANG_T1 XIANG_T1
机电	JI_T1 DIAN_T4
抛出	PAO_T1 CHU_T1
产出	CHAN_T3 CHU_T1
贬值	BIAN_T3 ZHI_T2
分化	FEN_T1 HUA_T4
中标	ZHONG_T4 BIAO_T1
差价	CHA_T1 JIA_T4
同级	TONG_T2 JI_T2
投机	TOU_T2 JI_T1
合伙	HE_T2 HUO_T3
收盘	SHOU_T1 PAN_T2
抽奖	CHOU_T1 JIANG_T3
饱和	BAO_T3 HE_T2
阿里巴巴	A_T1 LI_T3 BA_T1;A_T1 LI_T3 BA_T1 BA_T1
解散	JIE_T3 SAN_T4
获准	HUO_T4 ZHUN_T3
经济危机	JING_T1 JI_T4 WEI_T1 JI_T1
下落	XIA_T4 LUO_T4
停职	TING_T2 ZHI_T2
赚取	ZHUAN_T4 QU_T3
审慎	SHEN_T3 SHEN_T4
生产能力	SHENG_T1 CHAN_T3 NENG_T2 LI_T4
波音	BO_T1 YIN_T1
关税	GUAN_T1 SHUI_T4
手续费	SHOU_T3 XU_T4 FEI_T4
充斥	CHONG_T1 CHI_T4
封顶	FENG_T1 DING_T3
储蓄	CHU_T3 XU_T4
复核	FU_T4 HE_T2
监护人	JIAN_T1 HU_T4 REN_T2
暴涨	BAO_T4 ZHANG_T3
分红	FEN_T1 HONG_T2
盘活	PAN_T2 HUO_T2
理赔	LI_T3 PEI_T2
社会团体	SHE_T4 HUI_T4 TUAN_T2 TI_T3
逆转	NI_T4 ZHUAN_T3
华尔街日报	HUA_T2 ER_T3 JIE_T1 RI_T4 BAO_T4
市值	SHI_T4 ZHI_T2
港元	GANG_T3 YUAN_T2
管理层	GUAN_T2 LI_T3 CENG_T2;GUAN_T3 LI_T3 CENG_T2
停滞	TING_T2 ZHI_T4
万达	WAN_T4 DA_T2
评级	PING_T2 JI_T2
供不应求	GONG_T1 BU_T4 YING_T4 QIU_T2;GONG_T1 BU_T2 YING_T4 QIU_T2
负债	FU_T4 ZHAI_T4
扣留	KOU_T4 LIU_T2
大盘	DA_T4 PAN_T2
赤字	CHI_T4 ZI_T4
深层次	SHEN_T1 CENG_T2 CI_T4
欧元区	OU_T1 YUAN_T2 QU_T1
薪水	XIN_T1 SHUI_T3
中信	ZHONG_T1 XIN_T4
明珠	MING_T2 ZHU_T1
手势	SHOU_T3 SHI_T4;SHOU_T3 SHI_T0
不动产	BU_T2 DONG_T4 CHAN_T3
网购	WANG_T3 GOU_T4
国债	GUO_T2 ZHAI_T4
托管	TUO_T1 GUAN_T3
不定期	BU_T2 DING_T4 QI_T1
清算	QING_T1 SUAN_T4
主业	ZHU_T3 YE_T4
中国银行	ZHONG_T1 GUO_T2 YIN_T2 HANG_T2
远东	YUAN_T3 DONG_T1
欠款	QIAN_T4 KUAN_T3
协议书	XIE_T2 YI_T4 SHU_T1
偏离	PIAN_T1 LI_T2
港币	GANG_T3 BI_T4
白银	BAI_T2 YIN_T2
黄海	HUANG_T2 HAI_T3
年薪	NIAN_T2 XIN_T1
暴利	BAO_T4 LI_T4
撤回	CHE_T4 HUI_T2
经纪人	JING_T1 JI_T4 REN_T2
收益率	SHOU_T1 YI_T4 LV_T4
房地产业	FANG_T2 DI_T4 CHAN_T3 YE_T4
宽带	KUAN_T1 DAI_T4
购进	GOU_T4 JIN_T4
境内外	JING_T4 NEI_T4 WAI_T4
计量	JI_T4 LIANG_T4;JI_T4 LIANG_T2
化验	HUA_T4 YAN_T4
国际贸易	GUO_T2 JI_T4 MAO_T4 YI_T4
废止	FEI_T4 ZHI_T3
圣地	SHENG_T4 DI_T4
联谊	LIAN_T2 YI_T4
赌场	DU_T2 CHANG_T3;DU_T3 CHANG_T3
透支	TOU_T4 ZHI_T1
发起人	FA_T1 QI_T3 REN_T2
保费	BAO_T3 FEI_T4
上行	SHANG_T4 XING_T2
保值	BAO_T3 ZHI_T2
股份制	GU_T3 FEN_T4 ZHI_T4
中石化	ZHONG_T1 SHI_T2 HUA_T4
发货	FA_T1 HUO_T4
南航	NAN_T2 HANG_T2
中关村	ZHONG_T1 GUAN_T1 CUN_T1
交易额	JIAO_T1 YI_T4 E_T2
补办	BU_T3 BAN_T4
差额	CHA_T1 E_T2
福彩	FU_T2 CAI_T3
受惠	SHOU_T4 HUI_T4
中小型	ZHONG_T1 XIAO_T3 XING_T2
暴跌	BAO_T4 DIE_T1
信托	XIN_T4 TUO_T1
知情者	
对外贸易	DUI_T4 WAI_T4 MAO_T4 YI_T4
会计师	KUAI_T4 JI_T4 SHI_T1
井喷	JING_T3 PEN_T1
本金	BEN_T3 JIN_T1
中欧	ZHONG_T1 OU_T1
成因	CHENG_T2 YIN_T1
净利润	JING_T4 LI_T4 RUN_T4
精密	JING_T1 MI_T4
通货膨胀	TONG_T1 HUO_T4 PENG_T2 ZHANG_T4
贴息	TIE_T1 XI_T1
万里	WAN_T4 LI_T3
交易量	JIAO_T1 YI_T4 LIANG_T4
券商	QUAN_T4 SHANG_T1
交易日	JIAO_T1 YI_T4 RI_T4
跨国公司	KUA_T4 GUO_T2 GONG_T1 SI_T1
银监会	YIN_T2 JIAN_T1 HUI_T4
下单	
大西洋	DA_T4 XI_T1 YANG_T2
套取	TAO_T4 QU_T3
特许	TE_T4 XU_T3
金融时报	JIN_T1 RONG_T2 SHI_T2 BAO_T4
债权	ZHAI_T4 QUAN_T2
开户	KAI_T1 HU_T4
洗钱	XI_T3 QIAN_T2
代理商	DAI_T4 LI_T3 SHANG_T1
中海	ZHONG_T1 HAI_T3
购买力	GOU_T4 MAI_T3 LI_T4
筹码	CHOU_T2 MA_T3
财长	CAI_T2 ZHANG_T3
经济圈	JING_T1 JI_T4 QUAN_T1
资本市场	ZI_T1 BEN_T3 SHI_T4 CHANG_T3
股民	GU_T3 MIN_T2
孵化器	FU_T1 HUA_T4 QI_T4
定金	DING_T4 JIN_T1
单据	DAN_T1 JU_T4
回扣	HUI_T2 KOU_T4
罢工	BA_T4 GONG_T1
年报	NIAN_T2 BAO_T4
盘中	PAN_T2 ZHONG_T1
平价	PING_T2 JIA_T4
华尔街	HUA_T2 ER_T3 JIE_T1
报表	BAO_T4 BIAO_T3
上浮	SHANG_T4 FU_T2
卖点	MAI_T4 DIAN_T3
变数	BIAN_T4 SHU_T4
房贷	FANG_T2 DAI_T4
专款	ZHUAN_T1 KUAN_T3
建筑业	JIAN_T4 ZHU_T4 YE_T4
中西	ZHONG_T1 XI_T1
互换	HU_T4 HUAN_T4
变卖	BIAN_T4 MAI_T4
股指	GU_T2 ZHI_T3
硅谷	GUI_T1 GU_T3
技术改造	JI_T4 SHU_T4 GAI_T3 ZAO_T4
连云港	LIAN_T2 YUN_T2 GANG_T3
杂志社	ZA_T2 ZHI_T4 SHE_T4
挤出	JI_T3 CHU_T1
采样	CAI_T3 YANG_T4
债权人	ZHAI_T4 QUAN_T2 REN_T2
加息	JIA_T1 XI_T1
保税	BAO_T3 SHUI_T4
盗取	DAO_T4 QU_T3
消费税	XIAO_T1 FEI_T4 SHUI_T4
完整性	WAN_T2 ZHENG_T3 XING_T4
沃尔玛	WO_T4 ER_T2 MA_T3;WO_T4 ER_T3 MA_T3
万科	WAN_T4 KE_T1
市场部	SHI_T4 CHANG_T3 BU_T4
介于	JIE_T4 YU_T2
美联储	MEI_T3 LIAN_T2 CHU_T3
畅游	CHANG_T4 YOU_T2
契约	QI_T4 YUE_T1
放贷	FANG_T4 DAI_T4
麦当劳	MAI_T4 DANG_T1 LAO_T2
面值	MIAN_T4 ZHI_T2
税务局	SHUI_T4 WU_T4 JU_T2
赔钱	PEI_T2 QIAN_T2
福特	FU_T2 TE_T4
共产主义	GONG_T4 CHAN_T2 ZHU_T3 YI_T4;GONG_T4 CHAN_T3 ZHU_T3 YI_T4
按揭	AN_T4 JIE_T1
持卡	CHI_T2 KA_T3
远期	YUAN_T3 QI_T1
基点	JI_T1 DIAN_T3
按月	AN_T4 YUE_T4
炒股	CHAO_T2 GU_T3;CHAO_T3 GU_T3
工行	GONG_T1 HANG_T2
竞标	JING_T4 BIAO_T1
违约金	WEI_T2 YUE_T1 JIN_T1
出局	CHU_T1 JU_T2
中兴	ZHONG_T1 XING_T1
